Autor;Data;Polecam;Opinia;Liczba Gwiazdek;Pomocna;Niepomocna
  Michał            ;2 lata temu;Polecam;Kierownica bardzo dobra, przesiadka ze zwykłej marketowej za 200 zł to skok o 200% , zupełnie inne prowadzenie, do tego wsparcie w najnowszych grach, Project Cars czy Dirt Rally, świetna zabawa, jedyny minus że nie ma skrzyni biegów w zestawię, chodź z drugiej strony wiele osób i tak nie będzie z niej korzystało, więc może dobrze że jest osobno :) mogli by tylko trochę z ceną zejść ja kupiłem na promocji -30 % i taka cena powinna być zawsze.;5;4;1
  artur            ;rok temu;Polecam;Kierownica bardzo dobrej jakości, skóra, aluminium, bardzo dobre pedały...jedyny minus cena- mogłaby kosztować około 1000 zł....ja kupiłem za 1199 zł...polecam.....;5;0;2
  Oskar            ;7 miesięcy temu;Polecam;Jestem bardzo zadowolony z produktu. Sprawuje się świetnie. Przetestowałem i wszystkie testy zaliczone pomyślnie. Polecam zakup.;5;0;0
  Radziox            ;6 miesięcy temu;Polecam;Kierownica jest godna polecenia. Posiada intuicyjne oprogramowanie które pozwala na dostosowanie jej ustawień do własnych upodobać. Działa w dużej ilości gier. Technologia force feedback urealnia rozgrywkę. Serdecznie polecam.;5;0;0
  Krzysztof            ;9 miesięcy temu;Polecam;Bardzo dobra w tej cenie !!!.........................................................................................................................................................................................;5;0;0
  Arkadiusz krakow            ;2 lata temu;Polecam;Mam nie dugo ten produkt a jestem bardzo zadowolony, pelne wsparcie dla Project Cars, ETS2 czy ATS. Nawet przy nowym Forza Horizon 3 dziala bardzo dobrze. 
 POLECAM!;5;0;1
  pablo790902            ;9 miesięcy temu;Polecam;Kierownica niemal do każdej gry . Symulacje i wyścigi. Kompatybilność i oprogramowanie  dają dużo frajdy. Jeszcze jakby w zestawie był h-shifter to by było mniodzio :);5;0;0
  gelo27            ;3 miesiące temu;Polecam;Bardzo dobra kierownica polecam dokupić stojak i jest perfekt;5;0;0
  Michał            ;2 lata temu;Polecam;Bardzo dobry towar jak za taką cenę, wart zainteresowania się tym produktem którego można mieć za nie wielkie pieniądze.;5;1;1
  młody            ;9 miesięcy temu;Polecam;Jest zdecydowanie lepszym wyborem niż awaryjne i drogie kierownice od THRUSTMASTERA ;5;0;0
  Adam1989            ;6 miesięcy temu;Polecam;jedzi sie doskonale polecam firme logitech szczególnie kierownice pozdro;5;0;0
  Luki            ;3 lata temu;Polecam;Niesamowita jakość i dokładność !;5;4;7
  Adam1989            ;6 miesięcy temu;Polecam;tylko logiteh g 27 pozdrawiam ; ] ;] ; ];5;0;0
  Emil 2323 YT            ;9 miesięcy temu;Polecam;Bardzo Dobra Kierownica! Polecam!;5;0;0
  kaptus 09            ;5 miesięcy temu;Polecam;jestem zachwycony super sprawa ;5;0;0
  piotr            ;4 dni temu;Polecam;wszystko super;5;0;0
  j23            ;3 miesiące temu;Polecam;naprawde dobra;5;0;0
  Da            ;2 tygodnie temu;Polecam;Jdkskjffhdjkd;5;0;0
  kzn1            ;2 lata temu;Polecam;Nie słuchajcie tych co piszą, że się nie opłaca względem g27 czy g25. Jeżeli jeździsz w arcady to fakt nie opłaca się ale g29 jest o wiele lepszą kierownicą od g27. Rozumiem, że ktoś mówi że to ta sama kierownica co g27 z nową szatą ale wiele jest poprawione. ForceFeedback jest lepszy, nic nie przeskakuje, nic nie trzeszczy, manetki mają lepszy klik i delikatniej chodzą (przyjemniej się używa) i co najważniejsze praktycznie zerowy dead zone! Nie wiem może trafiłem na super model z tym deadzonem ale nie jestem w stanie go znaleźć co było bardzo oczywiste przy g27. Ogólnie polecam mimo tego iż cena rzeczywiście powinna być maks 1200zł a shifter 100zł ale jak nie stać Cię to nie kupuj bo nie jestem to kierownica dla amatorów tylko dla ludzi którzy wiedzą czego szukają. -pół gwiazdki za cenę. Polecam.;4,5;6;5
  RIP21            ;3 lata temu;Polecam;If you had G25 or G27 and they dead. Or you need some PS4 support. It's probably the best choice. The only problem is the price for that compatibility is about 650 zl minimum (if you buy shifter with) 
 Other stuff is a little better than in old wheels. (Maybe positioning of buttons is not perfect, but I don't care.;4,5;12;8
  ROP22            ;2 dni temu;Polecam;If you had G25 or G27 and they dead. Or you need some PS4 support. It's probably the best choice. The only problem is the price for that compatibility is about 650 zl minimum (if you buy shifter with)  
 Other stuff is a little better than in old wheels. (Maybe positioning of buttons is not perfect, but I don't care.;4,5;0;0
